AGS,Gültige,Union,SPD,Linke,AfD,FDP,Grüne,Sonstige
1054099,691,29.2,23,1.7,4.5,11.6,16.2,13.8
1054100,109,23.9,13.8,3.7,9.2,21.1,15.6,12.7
1054101,329,27.7,24.3,0.6,8.8,14,11.2,13.4
1054103,476,31.3,24.6,3.4,5.3,7.6,21.4,6.4
1054104,79,20.3,15.2,0,3.8,27.8,22.8,10.1
1054105,258,29.5,26.4,3.9,7.4,8.1,12,12.7
1054106,817,27.2,27,2.4,8.8,13.7,10.2,10.7
1054108,141,33.3,14.9,3.5,4.3,22.7,9.9,11.4
1054109,1882,22.8,26.7,2.5,4.4,10.5,16.3,16.8
1054110,214,20.6,18.2,2.3,6.1,13.6,19.6,19.6
1054113,1301,25.7,25.8,2.2,6.2,13.8,17.8,8.5
1054116,594,23.1,26.6,6.1,7.2,11.8,14.1,11.1
1054118,495,21.8,27.1,3.2,6.9,10.7,14.9,15.4
1054119,268,27.2,26.9,3.4,4.9,9.7,13.1,14.8
1054120,310,29.4,19,1,9,14.8,14.5,12.3
1054121,159,23.9,24.5,1.9,5.7,10.1,15.7,18.2
1054123,157,34.4,19.7,1.3,7,17.2,10.8,9.6
1054124,147,25.2,21.1,4.1,1.4,12.2,17,19
1054125,421,26.8,24.2,3.3,5,15.2,11.6,13.9
1054126,463,27.6,27.9,1.1,4.1,12.5,13,13.8
1054128,480,20,31.7,3.1,5,14.4,13.1,12.7
1054129,100,38,15,1,3,24,9,10
1054130,137,12.4,31.4,3.6,10.9,11.7,19.7,10.3
1054131,1058,23.1,26.7,2.4,6.9,11.4,10.7,18.8
1054132,75,32,21.3,6.7,6.7,14.7,9.3,9.3
1054134,386,21.5,28.5,3.9,5.4,17.4,13,10.3
1054135,276,27.2,18.5,4.3,2.9,14.5,23.2,9.4
1054136,102,34.3,15.7,2,6.9,5.9,17.6,17.6
1054138,2845,17.9,33.3,3,7.1,9.3,15.4,14
1054140,54,44.4,16.7,0,3.7,22.2,7.4,5.6
1054141,141,22.7,18.4,4.3,7.1,20.6,13.5,13.4
1054142,219,21.9,16.4,2.7,5,16,21,17
1054143,185,43.8,16.8,1.6,3.2,10.8,15.7,8.1
1054144,1069,27.6,28,2.1,5.5,13.3,12.7,10.8
1054145,97,38.1,21.6,5.2,5.2,16.5,7.2,6.2
1054146,86,15.1,18.6,4.7,8.1,15.1,19.8,18.6
1054148,119,31.9,13.4,2.5,0.8,19.3,21,11.1
1054149,386,24.4,26.4,2.9,6.5,13,15,11.8
1054150,55,36.4,18.2,0,9.1,12.7,12.7,10.9
1054152,511,29.6,23.5,2,5.7,14.1,12.9,12.2
1054154,183,36.6,15.3,2.7,3.3,8.7,11.5,21.9
1054156,370,23,28.9,2.7,11.6,14.3,6.5,13
1054157,348,29.3,29.3,0.9,6,10.3,15.2,9
1054158,186,36.6,21.5,1.6,2.2,16.1,14,8
1054159,404,38.9,19.8,1.5,8.9,11.9,8.7,10.3
1054160,294,18,31.3,5.1,2.7,10.2,20.7,12
1054161,438,19.4,30.8,3.2,9.1,12.8,11.4,13.3
1054162,228,20.6,32.5,5.3,4.8,8.8,17.1,10.9
1054163,236,30.9,28,3,1.7,12.7,15.3,8.4
